stateSize,linear,mixed,z3
48,18,49,
59,28,44,
34,4,10,
40,4,8,
50,7,10,
29,8,17,
44,27,42,
45,23,67,
47,25,44,
106,9171,6487,
75,17,22,
47,24,53,
32,26,63,
41,9,10,
40,10,12,
49,43,58,
37,8,20,
46,57,31,
48,42,50,
50,9,11,
61,11,14,
61,43,128,
47,16,43,
54,28,130,
42,14,48,
25,8,79,
43,16,66,
44,19,301,
40,13,83,
42,16,29,
51,20,39,
32,6,10,
37,25,28,
27,8,18,
48,5,5,
98,492,3071,
44,20,40,
54,141,225,
52,13,22,
50,27,47,
31,11,27,
56,14,16,
45,6,7,
46,14,15,
46,6,8,
32,70,42,
49,68,143,
40,12,25,
44,9,12,
44,16,29,
47,18,31,
48,7,9,
39,13,18,
31,9,12,
36,13,28,
32,34,51,
58,27,49,
61,28,54,
40,18,36,
46,20,98,
35,30,40,
45,20,41,
34,15,30,
49,29,50,
71,64,135,
51,38,68,
70,43,71,
34,20,48,
37,10,21,
37,27,45,
47,27,46,
62,37,69,
59,35,63,
50,21,36,
46,58,159,
59,38,61,
48,28,54,
61,43,76,
41,20,33,
48,16,32,
33,7,18,
49,20,40,
47,12,26,
43,16,39,
41,18,34,
41,11,50,
44,37,90,
35,84,55,
34,24,37,
35,18,32,
21,56,40,657
33,24,33,1880
31,79,46,1740
40,47,69,26254
23,65,77,1227
24,22,55,1632
28,9,16,420
27,5,7,323
34,15,28,1976
46,20,36,232981
28,4,5,233
27,3,6,213
21,6,7,256
17,3,11,144
33,16,34,1353
30,15,43,2573
36,11,23,688
31,7,15,391
29,10,48,931
31,6,14,309
43,19,42,19395
40,83,61
49,111,208
38,11,17
57,22,44
75,55,87
55,25,44
56,16,28
62,94,112
36,10,11
54,18,38
59,47,61
47,21,36
56,60,80
68,27,47
48,19,37
52,19,34
54,17,57
49,36,63
47,27,48
54,21,38
56,42,74
69,28,112
55,29,47
66,22,35
61,24,42
84,33,62
70,71,121
62,23,46
70,29,49
72,35,66
53,26,45
60,46,75
74,41,65
62,26,49
43,103,81
120,2207,36900
116,98,201
183,646,1373
123,174,314
109,377,197
94,58,116
143,413,553
87,81,129
81,3408,165
124,141,227
124,127,209
124,126,199
124,128,217
124,126,230
124,123,238
124,180,208
124,119,194
124,131,217
124,117,207
124,119,210
124,121,197
124,133,207
124,127,230
124,118,239
124,123,212
124,123,213
124,129,217
124,120,235
124,127,227
124,124,240
124,131,231
124,132,210
124,134,211
124,224,372
124,137,230
124,120,206
124,125,226
124,124,192
124,117,185
124,132,242
124,130,229
124,130,237
124,125,409
124,129,200
124,123,198
124,136,206
49,126,97
126,5441,20824
124,88,166
183,652,1013
123,167,304
117,145,262
101,61,101
150,516,538
94,87,156
96,98,161
130,129,207
130,125,200
130,124,194
130,125,201
130,127,197
130,122,219
130,120,204
130,127,198
130,121,207
130,125,198
130,113,183
130,124,215
130,131,203
130,118,191
130,122,196
130,122,193
130,121,210
130,117,213
130,113,182
130,124,193
130,116,192
130,125,210
130,116,190
130,117,191
130,119,216
130,125,206
130,120,209
130,133,197
130,124,189
130,132,268
130,117,203
130,138,216
130,121,213
130,128,200
130,129,199
130,118,193
130,123,205
130,121,208
130,114,185
106,35,44
173,1583,4218
97,136,262
109,191,410
109,379,424
109,561,365
109,397,404
109,371,1192
109,1548,419
109,808,1235
109,242,584
109,210,635
109,234,362
109,491,550
109,305,398
109,534,412
109,1344,643
109,196,371
109,397,545
109,1238,404
109,449,386
109,266,637
109,689,390
109,278,1704
109,561,393
109,286,371
109,735,402
109,209,648
109,216,669
109,838,410
109,350,419
109,542,452
109,252,436
109,204,383
109,314,633
109,5997,651
109,623,590
109,244,388
109,209,370
109,208,689
109,222,645
109,763,421
87,47,116
100,54,82
154,569,504
104,88,156
95,68,102,
